"ChEMBL ID"	"Name"	"Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL5316"	"Cyclin-dependent kinase 18"	"Q07002"	"SINGLE PROTEIN"	"Homo sapiens"	"307"	"401"	"9606"	"False"
"CHEMBL5969"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha"	"Q99755"	"SINGLE PROTEIN"	"Homo sapiens"	"324"	"393"	"9606"	"False"
"CHEMBL4599"	"Activated CDC42 kinase 1"	"Q07912"	"SINGLE PROTEIN"	"Homo sapiens"	"2140"	"3282"	"9606"	"False"
"CHEMBL3893"	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	"Q15120"	"SINGLE PROTEIN"	"Homo sapiens"	"64"	"77"	"9606"	"False"
"CHEMBL5749"	"Mitogen-activated protein kinase kinase kinase kinase 1"	"Q92918"	"SINGLE PROTEIN"	"Homo sapiens"	"6422"	"29391"	"9606"	"False"
"CHEMBL5970"	"Mitogen-activated protein kinase kinase kinase 3"	"Q99759"	"SINGLE PROTEIN"	"Homo sapiens"	"535"	"680"	"9606"	"False"
"CHEMBL6186"	"Serine/threonine-protein kinase Sgk3"	"Q96BR1"	"SINGLE PROTEIN"	"Homo sapiens"	"936"	"1571"	"9606"	"False"
"CHEMBL2828"	"Casein kinase I isoform delta"	"P48730"	"SINGLE PROTEIN"	"Homo sapiens"	"5103"	"8091"	"9606"	"False"
"CHEMBL4267"	"TGF-beta receptor type-2"	"P37173"	"SINGLE PROTEIN"	"Homo sapiens"	"1492"	"3330"	"9606"	"False"
"CHEMBL3385"	"Mitogen-activated protein kinase 3"	"P27361"	"SINGLE PROTEIN"	"Homo sapiens"	"3384"	"6178"	"9606"	"False"
