molecule_chembl_id,target_chembl_id,pchembl_value,activity_type
CHEMBL1081208,CHEMBL260,8.77,active
CHEMBL1081260,CHEMBL262,5.55,inactive
CHEMBL1081261,CHEMBL262,5.51,inactive
CHEMBL1081263,CHEMBL4282,6.37,inactive
CHEMBL1081293,CHEMBL262,5.89,inactive
CHEMBL1081294,CHEMBL262,8.49,active
CHEMBL1081295,CHEMBL4282,6.05,inactive
CHEMBL1081296,CHEMBL4282,5.89,inactive
CHEMBL1081312,CHEMBL1862,7.75,active
CHEMBL1081312,CHEMBL203,6.58,active
CHEMBL1081312,CHEMBL267,7.85,active
CHEMBL1081312,CHEMBL279,7.39,active
CHEMBL1081312,CHEMBL2842,8.0,active
CHEMBL1081312,CHEMBL3234,8.1,active
CHEMBL1081312,CHEMBL5024,5.85,inactive
CHEMBL1081376,CHEMBL2148,6.77,active
CHEMBL1081376,CHEMBL2971,6.08,inactive
CHEMBL1081377,CHEMBL2148,7.55,active
CHEMBL1081377,CHEMBL2971,6.48,inactive
CHEMBL1081378,CHEMBL2148,6.27,inactive
CHEMBL1081378,CHEMBL2971,5.16,inactive
CHEMBL1081379,CHEMBL2148,7.82,active
CHEMBL1081379,CHEMBL2971,7.25,active
CHEMBL1081470,CHEMBL5145,7.08,active
CHEMBL1081498,CHEMBL4901,6.58,active
CHEMBL1081499,CHEMBL4901,4.82,inactive
CHEMBL1081509,CHEMBL1844,8.07,active
CHEMBL1081509,CHEMBL1974,9.15,active
CHEMBL1081537,CHEMBL4040,5.75,inactive
CHEMBL1081616,CHEMBL262,7.51,active
CHEMBL1081617,CHEMBL262,8.19,active
CHEMBL1081628,CHEMBL4282,6.58,active
CHEMBL1081647,CHEMBL5145,6.41,inactive
CHEMBL1081817,CHEMBL5145,6.49,inactive
CHEMBL1081818,CHEMBL5145,6.44,inactive
CHEMBL1081829,CHEMBL4282,6.14,inactive
CHEMBL1081831,CHEMBL4282,6.52,active
CHEMBL1081846,CHEMBL2148,6.97,active
CHEMBL1081846,CHEMBL2971,6.0,inactive
CHEMBL1081849,CHEMBL1824,5.65,inactive
CHEMBL1081849,CHEMBL203,6.01,inactive
CHEMBL1081852,CHEMBL4282,6.3,inactive
CHEMBL1081853,CHEMBL4282,6.04,inactive
CHEMBL1081972,CHEMBL262,8.09,active
CHEMBL1081973,CHEMBL262,8.74,active
CHEMBL1081990,CHEMBL260,8.68,active
CHEMBL1081991,CHEMBL260,8.77,active
CHEMBL1082012,CHEMBL1824,6.07,inactive
CHEMBL1082012,CHEMBL203,6.59,active
CHEMBL1082016,CHEMBL4282,6.2,inactive
CHEMBL1082151,CHEMBL262,9.0,active
