target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5698,CHEMBL1826924,8,B
CHEMBL5698,CHEMBL1908836,8,B
CHEMBL5698,CHEMBL1944375,8,B
CHEMBL5698,CHEMBL2015412,8,B
CHEMBL5698,CHEMBL2209695,8,B
CHEMBL5698,CHEMBL2428992,9,B
CHEMBL5698,CHEMBL2429169,9,B
CHEMBL5698,CHEMBL3631474,9,B
CHEMBL5698,CHEMBL3631582,9,B
CHEMBL5698,CHEMBL3750160,9,B
CHEMBL5698,CHEMBL3772124,9,B
CHEMBL5698,CHEMBL3782396,9,B
CHEMBL5698,CHEMBL3812898,9,B
CHEMBL5698,CHEMBL3816847,9,B
CHEMBL5698,CHEMBL3991808,9,B
CHEMBL5698,CHEMBL3995064,9,B
CHEMBL5698,CHEMBL4025389,9,B
CHEMBL5698,CHEMBL4031314,9,B
CHEMBL5698,CHEMBL4034433,9,B
CHEMBL5698,CHEMBL4044200,9,B
CHEMBL5698,CHEMBL4045782,9,B
CHEMBL5698,CHEMBL4046023,9,B
CHEMBL5698,CHEMBL4054888,9,B
CHEMBL5698,CHEMBL4118431,9,B
CHEMBL5698,CHEMBL4157279,9,B
CHEMBL5698,CHEMBL4186058,9,B
CHEMBL5698,CHEMBL4187305,9,B
CHEMBL5698,CHEMBL4191089,9,B
CHEMBL5698,CHEMBL4230958,9,B
CHEMBL5698,CHEMBL4232944,9,B
CHEMBL5698,CHEMBL4233041,9,B
CHEMBL5698,CHEMBL4254359,9,B
CHEMBL5698,CHEMBL4261286,9,B
CHEMBL5698,CHEMBL4264547,9,B
CHEMBL5698,CHEMBL4304953,9,B
CHEMBL5698,CHEMBL4308056,9,B
CHEMBL5698,CHEMBL4314571,9,B
CHEMBL5698,CHEMBL4322825,9,B
CHEMBL5698,CHEMBL4327879,9,B
CHEMBL5698,CHEMBL4328243,9,B
CHEMBL5698,CHEMBL4328607,9,B
CHEMBL5698,CHEMBL4333638,9,B
CHEMBL5698,CHEMBL4335208,9,B
CHEMBL5698,CHEMBL4337032,9,B
CHEMBL5698,CHEMBL4351984,9,B
CHEMBL5698,CHEMBL4352544,9,B
CHEMBL5698,CHEMBL4358136,9,B
CHEMBL5698,CHEMBL4365973,9,B
CHEMBL5698,CHEMBL4366592,9,B
CHEMBL5698,CHEMBL4377742,9,B
CHEMBL5698,CHEMBL4378902,9,B
CHEMBL5698,CHEMBL4379254,9,B
CHEMBL5698,CHEMBL4382767,9,B
CHEMBL5698,CHEMBL4389486,9,B
CHEMBL5698,CHEMBL4389963,9,B
CHEMBL5698,CHEMBL4391589,9,B
CHEMBL5698,CHEMBL4405567,9,B
CHEMBL5698,CHEMBL4408070,9,B
CHEMBL5698,CHEMBL4408775,9,B
CHEMBL5698,CHEMBL4620261,9,B
CHEMBL5698,CHEMBL4674195,9,B
CHEMBL5698,CHEMBL4686932,9,B
CHEMBL5698,CHEMBL4720552,9,B
CHEMBL5698,CHEMBL4720895,9,B
CHEMBL5698,CHEMBL4721541,9,B
CHEMBL5698,CHEMBL4729080,9,B
CHEMBL5698,CHEMBL4766870,9,B
CHEMBL5698,CHEMBL4804451,9,B
CHEMBL5698,CHEMBL4804633,9,B
CHEMBL5698,CHEMBL4805171,9,B
CHEMBL5698,CHEMBL4805759,9,B
CHEMBL5698,CHEMBL4806211,9,B
CHEMBL5698,CHEMBL4806776,9,B
CHEMBL5698,CHEMBL4808005,9,B
CHEMBL5698,CHEMBL4812278,9,B
CHEMBL5698,CHEMBL4814708,9,B
CHEMBL5698,CHEMBL4819729,9,B
CHEMBL5698,CHEMBL4839458,9,B
CHEMBL5698,CHEMBL4839461,9,B
CHEMBL5698,CHEMBL4879962,9,B
CHEMBL5698,CHEMBL4881161,9,B
CHEMBL5698,CHEMBL4884099,9,B
CHEMBL5698,CHEMBL4884414,9,B
CHEMBL5698,CHEMBL4884800,9,B
CHEMBL5698,CHEMBL4885091,9,B
CHEMBL5698,CHEMBL4885378,9,B
CHEMBL5698,CHEMBL4887298,9,B
CHEMBL5698,CHEMBL4887980,9,B
CHEMBL5698,CHEMBL5034457,9,B
CHEMBL5698,CHEMBL5046613,9,B
CHEMBL5698,CHEMBL5058376,9,B
CHEMBL5698,CHEMBL5059241,9,B
CHEMBL5698,CHEMBL5059825,9,B
CHEMBL5698,CHEMBL5096575,9,B
CHEMBL5698,CHEMBL5096589,9,B
CHEMBL5698,CHEMBL5096600,9,B
CHEMBL5698,CHEMBL5096602,9,B
CHEMBL5698,CHEMBL5151355,9,B
CHEMBL5698,CHEMBL5157131,9,B
CHEMBL5698,CHEMBL5157158,9,B
CHEMBL5698,CHEMBL5209916,9,B
CHEMBL5698,CHEMBL5210330,9,B
CHEMBL5698,CHEMBL5213302,9,B
CHEMBL5698,CHEMBL5213571,9,B
CHEMBL5698,CHEMBL5328206,9,B
CHEMBL5698,CHEMBL5345938,9,B
CHEMBL5698,CHEMBL5362982,9,B
CHEMBL5698,CHEMBL5378172,9,B
CHEMBL5698,CHEMBL5464643,9,B
CHEMBL5698,CHEMBL5465021,9,B
CHEMBL5698,CHEMBL5465914,9,B
CHEMBL5698,CHEMBL5466801,9,B
CHEMBL5698,CHEMBL5467709,9,B
